meal_id	meal_name	meal_type	diet_type	prep_time_min	ingredients
1019	Skyr + mango + pumpkin seeds	breakfast	vegetarian	5	[{"id":2,"g":250},{"id":49,"g":130},{"id":26,"g":12}]
1020	Greek yogurt + apple + cinnamon	breakfast	vegetarian	5	[{"id":1,"g":250},{"id":43,"g":150},{"id":116,"g":2}]
1021	Vegan oats (apple + cinnamon + flax)	breakfast	vegan	10	[{"id":7,"g":65},{"id":43,"g":160},{"id":19,"g":10},{"id":116,"g":2}]
1022	Avocado + tomato toast	breakfast	vegan	7	[{"id":8,"g":80},{"id":32,"g":80},{"id":53,"g":90}]
1023	Egg + cheese toast	breakfast	non-vegetarian	10	[{"id":82,"g":100},{"id":8,"g":70},{"id":94,"g":40}]
1024	Protein French Toast (egg + bread + whey)	breakfast	non-vegetarian	15	[{"id":8,"g":90},{"id":82,"g":100},{"id":98,"g":20}]
1025	Sweet oats (banana + maple)	breakfast	vegan	10	[{"id":7,"g":70},{"id":42,"g":120},{"id":39,"g":15}]
1026	Greek Yogurt Bowl (banana + flax)	breakfast	vegetarian	5	[{"id":1,"g":250},{"id":42,"g":100},{"id":19,"g":10}]
1027	Skyr + apple + chia	breakfast	vegetarian	5	[{"id":2,"g":250},{"id":43,"g":140},{"id":18,"g":10}]
1028	Cottage Cheese + berries + almonds	breakfast	vegetarian	5	[{"id":3,"g":220},{"id":45,"g":80},{"id":46,"g":60},{"id":23,"g":15}]
1029	Protein Oats (apple + cinnamon + whey)	breakfast	vegetarian	10	[{"id":7,"g":70},{"id":43,"g":120},{"id":98,"g":25},{"id":116,"g":2}]
1030	Protein Oats (blueberries + whey)	breakfast	vegetarian	10	[{"id":7,"g":70},{"id":46,"g":90},{"id":98,"g":25}]
1031	Vegan Protein Oats (blueberries + pea)	breakfast	vegan	10	[{"id":7,"g":70},{"id":46,"g":90},{"id":99,"g":25}]
1032	Overnight Oats (soy milk + apple + chia)	breakfast	vegan	8	[{"id":7,"g":60},{"id":6,"g":220},{"id":43,"g":120},{"id":18,"g":12}]
1033	Egg White Omelette + mushrooms + toast	breakfast	non-vegetarian	12	[{"id":83,"g":220},{"id":64,"g":100},{"id":8,"g":70}]
1034	Egg White Omelette + peppers + toast	breakfast	non-vegetarian	12	[{"id":83,"g":220},{"id":58,"g":90},{"id":8,"g":70}]
1035	Avocado Toast + egg whites	breakfast	non-vegetarian	10	[{"id":8,"g":80},{"id":32,"g":70},{"id":83,"g":150}]
1036	Soy Smoothie (berries + pea protein)	breakfast	vegan	7	[{"id":6,"g":250},{"id":45,"g":80},{"id":46,"g":80},{"id":99,"g":25}]
1037	Milk Smoothie (berries + whey)	breakfast	vegetarian	7	[{"id":4,"g":250},{"id":45,"g":80},{"id":46,"g":80},{"id":98,"g":25}]
1038	Chia Pudding (soy milk + blueberries)	breakfast	vegan	8	[{"id":6,"g":250},{"id":18,"g":25},{"id":46,"g":100}]
1039	Toast + peanut butter + apple	breakfast	vegan	6	[{"id":8,"g":80},{"id":21,"g":18},{"id":43,"g":120}]
1040	Toast + almond butter + banana	breakfast	vegan	6	[{"id":8,"g":80},{"id":22,"g":18},{"id":42,"g":100}]
1041	Granola + skyr + blueberries	breakfast	vegetarian	5	[{"id":2,"g":220},{"id":17,"g":40},{"id":46,"g":100}]
1042	Tofu Scramble + kale + toast	breakfast	vegan	15	[{"id":77,"g":200},{"id":62,"g":80},{"id":8,"g":70},{"id":28,"g":5}]
1043	Eggs + spinach + whole wheat toast	breakfast	non-vegetarian	10	[{"id":82,"g":120},{"id":56,"g":60},{"id":8,"g":70}]
1044	Protein French Toast (berries)	breakfast	non-vegetarian	15	[{"id":8,"g":90},{"id":82,"g":100},{"id":98,"g":20},{"id":45,"g":80}]
1045	Oats + mango + chia	breakfast	vegan	10	[{"id":7,"g":70},{"id":49,"g":100},{"id":18,"g":10}]
2001	Grilled Chicken Salad (olive oil)	lunch	non-vegetarian	15	[{"id":84,"g":170},{"id":61,"g":80},{"id":54,"g":80},{"id":28,"g":10}]
2002	Tuna Salad Bowl (lettuce + tomato)	lunch	non-vegetarian	12	[{"id":91,"g":150},{"id":61,"g":80},{"id":53,"g":90},{"id":28,"g":8}]
2003	Turkey Sandwich (whole wheat)	lunch	non-vegetarian	10	[{"id":8,"g":120},{"id":85,"g":120},{"id":61,"g":40},{"id":33,"g":10}]
2004	Vegan Chickpea Salad (cucumber + tomato)	lunch	vegan	12	[{"id":72,"g":220},{"id":54,"g":100},{"id":53,"g":100},{"id":28,"g":10}]
2005	Lentil Bowl (spinach + carrots)	lunch	vegan	20	[{"id":71,"g":260},{"id":56,"g":60},{"id":55,"g":80},{"id":28,"g":8}]
2006	Tofu Quinoa Bowl (broccoli)	lunch	vegan	20	[{"id":77,"g":170},{"id":11,"g":200},{"id":57,"g":150},{"id":28,"g":8}]
2007	Tempeh Brown Rice Bowl	lunch	vegan	18	[{"id":79,"g":150},{"id":10,"g":220},{"id":58,"g":120},{"id":36,"g":10}]
2008	Chicken + Brown Rice + Broccoli	lunch	non-vegetarian	20	[{"id":84,"g":170},{"id":10,"g":220},{"id":57,"g":180},{"id":28,"g":6}]
2009	Salmon Quinoa Salad	lunch	non-vegetarian	20	[{"id":88,"g":160},{"id":11,"g":180},{"id":61,"g":80},{"id":28,"g":8}]
2010	Shrimp Rice Bowl (peppers + onion)	lunch	non-vegetarian	18	[{"id":90,"g":180},{"id":9,"g":220},{"id":58,"g":120},{"id":59,"g":60}]
2011	Vegan Bean + Rice Bowl (avocado)	lunch	vegan	20	[{"id":73,"g":220},{"id":9,"g":220},{"id":32,"g":70},{"id":37,"g":60}]
2012	Black Beans + Quinoa Bowl	lunch	vegan	20	[{"id":73,"g":220},{"id":11,"g":200},{"id":53,"g":100},{"id":28,"g":8}]
2013	Chickpeas + Couscous Bowl	lunch	vegan	18	[{"id":72,"g":200},{"id":12,"g":220},{"id":54,"g":100},{"id":28,"g":8}]
2014	Turkey Chili (beans + tomato)	lunch	non-vegetarian	25	[{"id":86,"g":160},{"id":73,"g":160},{"id":53,"g":150},{"id":59,"g":60}]
2015	Lentil Soup + whole wheat bread	lunch	vegan	25	[{"id":71,"g":280},{"id":55,"g":80},{"id":59,"g":60},{"id":8,"g":70}]
2016	Chicken Wrap (whole wheat tortilla)	lunch	non-vegetarian	12	[{"id":15,"g":80},{"id":84,"g":150},{"id":61,"g":60},{"id":33,"g":10}]
2017	Vegan Hummus Wrap	lunch	vegan	10	[{"id":15,"g":80},{"id":38,"g":120},{"id":61,"g":60},{"id":54,"g":80}]
2018	Tofu Stir Fry + rice (quick)	lunch	vegan	20	[{"id":77,"g":200},{"id":9,"g":220},{"id":58,"g":120},{"id":36,"g":12}]
2019	Beef + rice bowl (onion + peppers)	lunch	non-vegetarian	20	[{"id":87,"g":170},{"id":9,"g":220},{"id":59,"g":60},{"id":58,"g":120}]
2020	Cod + potatoes + greens	lunch	non-vegetarian	25	[{"id":89,"g":180},{"id":70,"g":250},{"id":56,"g":60},{"id":28,"g":6}]
2021	Egg Salad Sandwich	lunch	non-vegetarian	10	[{"id":8,"g":120},{"id":82,"g":120},{"id":33,"g":12},{"id":61,"g":40}]
2022	Vegan Lentil + quinoa salad	lunch	vegan	20	[{"id":71,"g":220},{"id":11,"g":180},{"id":54,"g":100},{"id":28,"g":8}]
2023	Chicken + sweet potato plate	lunch	non-vegetarian	25	[{"id":84,"g":180},{"id":69,"g":260},{"id":56,"g":60},{"id":28,"g":6}]
2024	Paneer rice bowl	lunch	vegetarian	25	[{"id":96,"g":140},{"id":9,"g":220},{"id":58,"g":120},{"id":28,"g":6}]
2025	Vegetarian chickpea + quinoa bowl	lunch	vegetarian	20	[{"id":72,"g":200},{"id":11,"g":200},{"id":61,"g":80},{"id":28,"g":8}]
2026	Chicken Quinoa Salad (olive oil + tomato)	lunch	non-vegetarian	18	[{"id":84,"g":160},{"id":11,"g":180},{"id":61,"g":80},{"id":53,"g":100},{"id":28,"g":8}]
2027	Turkey Quinoa Bowl (broccoli)	lunch	non-vegetarian	20	[{"id":85,"g":160},{"id":11,"g":200},{"id":57,"g":150},{"id":28,"g":6}]
2028	Chicken Rice Bowl (peppers + spinach)	lunch	non-vegetarian	18	[{"id":84,"g":170},{"id":9,"g":220},{"id":58,"g":100},{"id":56,"g":60}]
2029	Salmon Brown Rice Bowl	lunch	non-vegetarian	20	[{"id":88,"g":160},{"id":10,"g":220},{"id":57,"g":150},{"id":28,"g":6}]
2030	Cod Quinoa Plate (greens)	lunch	non-vegetarian	20	[{"id":89,"g":180},{"id":11,"g":180},{"id":56,"g":70},{"id":28,"g":6}]
2031	Shrimp Quinoa Salad	lunch	non-vegetarian	18	[{"id":90,"g":180},{"id":11,"g":180},{"id":61,"g":80},{"id":54,"g":80},{"id":28,"g":6}]
2032	Tuna Rice Bowl (cucumber + tomato)	lunch	non-vegetarian	12	[{"id":91,"g":150},{"id":9,"g":200},{"id":54,"g":100},{"id":53,"g":100}]
2033	Chicken Lentil Bowl	lunch	non-vegetarian	22	[{"id":84,"g":150},{"id":71,"g":220},{"id":56,"g":60},{"id":28,"g":6}]
2034	Turkey Sweet Potato Plate	lunch	non-vegetarian	22	[{"id":85,"g":160},{"id":69,"g":240},{"id":57,"g":160},{"id":28,"g":6}]
2035	Beef Quinoa Bowl (broccoli)	lunch	non-vegetarian	22	[{"id":87,"g":160},{"id":11,"g":180},{"id":57,"g":150},{"id":28,"g":6}]
2036	Tofu Brown Rice Bowl (broccoli)	lunch	vegan	20	[{"id":77,"g":180},{"id":10,"g":220},{"id":57,"g":160},{"id":36,"g":10}]
2037	Tofu Lentil Bowl	lunch	vegan	22	[{"id":77,"g":180},{"id":71,"g":220},{"id":56,"g":70},{"id":28,"g":6}]
2038	Tempeh Quinoa Bowl (kale)	lunch	vegan	22	[{"id":79,"g":160},{"id":11,"g":190},{"id":62,"g":100},{"id":28,"g":6}]
2039	Seitan Rice Bowl (peppers)	lunch	vegan	18	[{"id":80,"g":120},{"id":9,"g":220},{"id":58,"g":120},{"id":36,"g":10}]
2040	Vegan Lentil Wrap	lunch	vegan	12	[{"id":15,"g":80},{"id":71,"g":180},{"id":61,"g":60},{"id":54,"g":80}]
2041	Chickpea Spinach Salad	lunch	vegan	12	[{"id":72,"g":220},{"id":56,"g":70},{"id":53,"g":100},{"id":28,"g":8}]
2042	Black Bean Sweet Potato Bowl	lunch	vegan	22	[{"id":73,"g":220},{"id":69,"g":240},{"id":53,"g":100},{"id":37,"g":50}]
2043	Paneer Quinoa Bowl	lunch	vegetarian	22	[{"id":96,"g":140},{"id":11,"g":190},{"id":57,"g":150},{"id":28,"g":6}]
2044	Mozzarella Tomato Sandwich	lunch	vegetarian	10	[{"id":8,"g":120},{"id":94,"g":60},{"id":53,"g":100},{"id":61,"g":40}]
2045	Egg + avocado toast plate	lunch	non-vegetarian	12	[{"id":8,"g":120},{"id":82,"g":120},{"id":32,"g":70},{"id":53,"g":80}]
3001	Baked Salmon + quinoa + broccoli	dinner	non-vegetarian	25	[{"id":88,"g":170},{"id":11,"g":200},{"id":57,"g":180},{"id":28,"g":6}]
3002	Grilled Chicken + veggies + rice	dinner	non-vegetarian	25	[{"id":84,"g":190},{"id":9,"g":220},{"id":57,"g":160},{"id":28,"g":6}]
3003	Lean Beef + sweet potato + spinach	dinner	non-vegetarian	30	[{"id":87,"g":170},{"id":69,"g":280},{"id":56,"g":80},{"id":28,"g":6}]
3004	Tofu stir fry + brown rice	dinner	vegan	20	[{"id":77,"g":220},{"id":10,"g":220},{"id":58,"g":140},{"id":36,"g":12}]
3005	Tempeh quinoa bowl + peppers	dinner	vegan	25	[{"id":79,"g":170},{"id":11,"g":220},{"id":58,"g":140},{"id":28,"g":6}]
3006	Black beans + rice + avocado	dinner	vegan	25	[{"id":73,"g":240},{"id":9,"g":240},{"id":32,"g":80},{"id":37,"g":70}]
3007	Chickpeas + couscous + veggies	dinner	vegan	25	[{"id":72,"g":220},{"id":12,"g":240},{"id":63,"g":150},{"id":28,"g":6}]
3008	Lentil curry bowl + rice	dinner	vegan	35	[{"id":71,"g":280},{"id":9,"g":240},{"id":59,"g":60},{"id":28,"g":8}]
3009	Shrimp stir fry + rice	dinner	non-vegetarian	20	[{"id":90,"g":200},{"id":9,"g":240},{"id":58,"g":140},{"id":36,"g":12}]
3010	Cod + potatoes + broccoli	dinner	non-vegetarian	30	[{"id":89,"g":200},{"id":70,"g":280},{"id":57,"g":180},{"id":28,"g":6}]
3011	Turkey burger + salad	dinner	non-vegetarian	20	[{"id":85,"g":180},{"id":61,"g":100},{"id":53,"g":120},{"id":28,"g":8}]
3012	Chicken wrap plate (tortilla + salad)	dinner	non-vegetarian	15	[{"id":15,"g":90},{"id":84,"g":170},{"id":61,"g":80},{"id":33,"g":10}]
3013	Vegan seitan rice bowl	dinner	vegan	20	[{"id":80,"g":120},{"id":9,"g":240},{"id":57,"g":160},{"id":36,"g":10}]
3014	Tofu peanut sauce noodles	dinner	vegan	25	[{"id":77,"g":200},{"id":13,"g":220},{"id":109,"g":25},{"id":58,"g":120}]
3015	Chicken pasta bowl (whole wheat)	dinner	non-vegetarian	30	[{"id":84,"g":180},{"id":14,"g":240},{"id":53,"g":120},{"id":28,"g":6}]
3016	Vegetarian paneer rice bowl	dinner	vegetarian	25	[{"id":96,"g":170},{"id":9,"g":240},{"id":57,"g":160},{"id":28,"g":6}]
3017	Egg shakshuka-style (tomato + peppers)	dinner	non-vegetarian	25	[{"id":82,"g":150},{"id":53,"g":220},{"id":58,"g":120},{"id":28,"g":6}]
3018	Vegan tofu + quinoa + kale	dinner	vegan	25	[{"id":77,"g":200},{"id":11,"g":220},{"id":62,"g":120},{"id":28,"g":6}]
3019	Beef burrito bowl	dinner	non-vegetarian	25	[{"id":87,"g":180},{"id":9,"g":240},{"id":73,"g":160},{"id":37,"g":70}]
3020	Vegetarian chili bowl (beans + tomato)	dinner	vegan	35	[{"id":73,"g":220},{"id":74,"g":180},{"id":53,"g":200},{"id":59,"g":60}]
3021	Chicken + brown rice + peas	dinner	non-vegetarian	25	[{"id":84,"g":190},{"id":10,"g":240},{"id":68,"g":120},{"id":28,"g":6}]
3022	Salmon + sweet potato + greens	dinner	non-vegetarian	30	[{"id":88,"g":170},{"id":69,"g":280},{"id":56,"g":80},{"id":28,"g":6}]
3023	Vegan tempeh + broccoli + rice	dinner	vegan	25	[{"id":79,"g":170},{"id":9,"g":240},{"id":57,"g":180},{"id":36,"g":10}]
3024	Turkey meat bowl (turkey + rice + peppers)	dinner	non-vegetarian	25	[{"id":86,"g":180},{"id":9,"g":240},{"id":58,"g":140},{"id":28,"g":6}]
3025	Vegan chickpeas + spinach + quinoa	dinner	vegan	25	[{"id":72,"g":220},{"id":11,"g":220},{"id":56,"g":80},{"id":28,"g":6}]
3026	Chicken Quinoa Plate + broccoli	dinner	non-vegetarian	25	[{"id":84,"g":180},{"id":11,"g":220},{"id":57,"g":180},{"id":28,"g":6}]
3027	Chicken Sweet Potato + broccoli	dinner	non-vegetarian	25	[{"id":84,"g":180},{"id":69,"g":260},{"id":57,"g":180},{"id":28,"g":6}]
3028	Turkey Brown Rice Bowl	dinner	non-vegetarian	25	[{"id":86,"g":180},{"id":10,"g":240},{"id":58,"g":140},{"id":28,"g":6}]
3029	Cod Quinoa + greens	dinner	non-vegetarian	25	[{"id":89,"g":200},{"id":11,"g":220},{"id":56,"g":80},{"id":28,"g":6}]
3030	Shrimp Brown Rice Bowl	dinner	non-vegetarian	22	[{"id":90,"g":200},{"id":10,"g":240},{"id":58,"g":140},{"id":36,"g":10}]
3031	Tuna Pasta Bowl (whole wheat)	dinner	non-vegetarian	20	[{"id":91,"g":150},{"id":14,"g":220},{"id":53,"g":120},{"id":28,"g":6}]
3032	Beef Quinoa + broccoli	dinner	non-vegetarian	28	[{"id":87,"g":170},{"id":11,"g":220},{"id":57,"g":180},{"id":28,"g":6}]
3033	Turkey Sweet Potato Bowl	dinner	non-vegetarian	25	[{"id":86,"g":170},{"id":69,"g":260},{"id":56,"g":80},{"id":28,"g":6}]
3034	Chicken Lentil Plate	dinner	non-vegetarian	25	[{"id":84,"g":170},{"id":71,"g":240},{"id":57,"g":160},{"id":28,"g":6}]
3035	Salmon Brown Rice + kale	dinner	non-vegetarian	28	[{"id":88,"g":170},{"id":10,"g":230},{"id":62,"g":120},{"id":28,"g":6}]
3036	Tofu Quinoa + broccoli	dinner	vegan	25	[{"id":77,"g":200},{"id":11,"g":220},{"id":57,"g":180},{"id":28,"g":6}]
3037	Tempeh Brown Rice + kale	dinner	vegan	25	[{"id":79,"g":170},{"id":10,"g":240},{"id":62,"g":120},{"id":28,"g":6}]
3038	Seitan Quinoa Bowl	dinner	vegan	22	[{"id":80,"g":120},{"id":11,"g":220},{"id":57,"g":160},{"id":36,"g":10}]
3039	TVP Chili Bowl	dinner	vegan	30	[{"id":81,"g":70},{"id":73,"g":180},{"id":53,"g":180},{"id":59,"g":60}]
3040	Lentil Pasta Bowl (whole wheat)	dinner	vegan	28	[{"id":71,"g":220},{"id":14,"g":220},{"id":53,"g":120},{"id":28,"g":6}]
3041	Chickpea Rice Bowl + broccoli	dinner	vegan	25	[{"id":72,"g":220},{"id":9,"g":240},{"id":57,"g":180},{"id":28,"g":6}]
3042	Black Bean Quinoa Bowl + kale	dinner	vegan	25	[{"id":73,"g":220},{"id":11,"g":220},{"id":62,"g":120},{"id":28,"g":6}]
3043	Paneer Quinoa + peppers	dinner	vegetarian	25	[{"id":96,"g":160},{"id":11,"g":220},{"id":58,"g":140},{"id":28,"g":6}]
3044	Egg + spinach rice bowl	dinner	non-vegetarian	18	[{"id":82,"g":150},{"id":9,"g":220},{"id":56,"g":80},{"id":28,"g":6}]
3045	Tofu peanut quinoa bowl	dinner	vegan	25	[{"id":77,"g":200},{"id":11,"g":220},{"id":109,"g":18},{"id":58,"g":120}]
4001	Greek Yogurt Cup	snack	vegetarian	2	[{"id":1,"g":200}]
4002	Skyr Cup	snack	vegetarian	2	[{"id":2,"g":200}]
4003	Cottage Cheese Cup	snack	vegetarian	2	[{"id":3,"g":200}]
4004	Protein Shake (whey + milk)	snack	vegetarian	2	[{"id":4,"g":250},{"id":98,"g":30}]
4005	Protein Shake (pea + soy)	snack	vegan	2	[{"id":6,"g":250},{"id":99,"g":30}]
4006	Apple + peanut butter	snack	vegan	3	[{"id":43,"g":160},{"id":21,"g":18}]
4007	Banana + peanut butter	snack	vegan	3	[{"id":42,"g":140},{"id":21,"g":18}]
4008	Carrots + hummus	snack	vegan	5	[{"id":55,"g":160},{"id":38,"g":120}]
4009	Cucumber + hummus	snack	vegan	5	[{"id":54,"g":180},{"id":38,"g":120}]
4010	Almonds pack (30g)	snack	vegan	1	[{"id":23,"g":30}]
4011	Walnuts pack (25g)	snack	vegan	1	[{"id":24,"g":25}]
4012	Cashews pack (30g)	snack	vegan	1	[{"id":25,"g":30}]
4013	Trail Mix (nuts + seeds)	snack	vegan	2	[{"id":23,"g":15},{"id":24,"g":10},{"id":27,"g":10}]
4014	Boiled eggs (2)	snack	non-vegetarian	10	[{"id":82,"g":100}]
4015	Edamame cup	snack	vegan	6	[{"id":76,"g":180}]
4016	Dark chocolate (20g)	snack	vegan	1	[{"id":100,"g":20}]
4017	Protein bar	snack	vegetarian	1	[{"id":107,"g":60}]
4018	Granola bar	snack	vegan	1	[{"id":106,"g":45}]
4019	Peanut butter rice cakes	snack	vegan	5	[{"id":16,"g":18},{"id":21,"g":16}]
4020	Avocado rice cakes	snack	vegan	5	[{"id":16,"g":18},{"id":32,"g":60}]
4021	Cheese + crackers	snack	vegetarian	2	[{"id":92,"g":35},{"id":8,"g":40}]
4022	Turkey jerky pack	snack	non-vegetarian	1	[{"id":105,"g":35}]
4023	Beef jerky pack	snack	non-vegetarian	1	[{"id":104,"g":35}]
4024	Orange + almonds	snack	vegan	2	[{"id":44,"g":180},{"id":23,"g":15}]
4025	Strawberries + skyr	snack	vegetarian	3	[{"id":45,"g":160},{"id":2,"g":180}]
4026	Apple + almonds + skyr	snack	vegetarian	3	[{"id":43,"g":140},{"id":23,"g":15},{"id":2,"g":150}]
4027	Banana + whey shake	snack	vegetarian	2	[{"id":4,"g":250},{"id":42,"g":120},{"id":98,"g":20}]
4028	Berries + Greek yogurt	snack	vegetarian	3	[{"id":1,"g":180},{"id":45,"g":80},{"id":46,"g":80}]
4029	Cottage cheese + apple	snack	vegetarian	3	[{"id":3,"g":180},{"id":43,"g":120}]
4030	Edamame + carrots	snack	vegan	6	[{"id":76,"g":160},{"id":55,"g":100}]
4031	Hummus + whole wheat toast	snack	vegan	5	[{"id":38,"g":80},{"id":8,"g":60}]
4032	Peanut butter banana rice cakes	snack	vegan	5	[{"id":16,"g":18},{"id":21,"g":16},{"id":42,"g":80}]
4033	Avocado tomato rice cakes	snack	vegan	5	[{"id":16,"g":18},{"id":32,"g":60},{"id":53,"g":60}]
4034	Orange + walnuts	snack	vegan	2	[{"id":44,"g":180},{"id":24,"g":15}]
4035	Protein pudding (skyr + whey + cinnamon)	snack	vegetarian	3	[{"id":2,"g":180},{"id":98,"g":15},{"id":116,"g":1}]
4036	Soy yogurt-style shake	snack	vegan	2	[{"id":6,"g":250},{"id":99,"g":20},{"id":45,"g":80}]
4037	Boiled eggs + cucumber	snack	non-vegetarian	10	[{"id":82,"g":100},{"id":54,"g":120}]
4038	Turkey jerky + apple	snack	non-vegetarian	2	[{"id":105,"g":30},{"id":43,"g":140}]
4039	Beef jerky + orange	snack	non-vegetarian	2	[{"id":104,"g":30},{"id":44,"g":160}]
4040	Protein bar + strawberries	snack	vegetarian	2	[{"id":107,"g":60},{"id":45,"g":120}]
4041	Granola + skyr mini cup	snack	vegetarian	3	[{"id":2,"g":150},{"id":17,"g":25}]
4042	Dark chocolate + strawberries	snack	vegan	2	[{"id":100,"g":15},{"id":45,"g":120}]
4043	Cottage cheese + pineapple	snack	vegetarian	3	[{"id":3,"g":180},{"id":48,"g":100}]
4044	Greek yogurt + chia	snack	vegetarian	3	[{"id":1,"g":180},{"id":18,"g":10}]
4045	Almonds + blueberries	snack	vegan	2	[{"id":23,"g":15},{"id":46,"g":100}]
